DATE_KEY,Meta,Meta-1,Meta-2,Meta-3,Display ads,Google,Perf max,Shopping,Video ads,new_customers
2021-12-07,5763.384562241111,6237.003076549363,5318.028707917501,5463.671698673442,509.518137,2161.519999,,3719.5597119999998,448.261751,27.0
2021-12-08,5429.026581871255,5763.384562241111,6237.003076549363,5318.028707917501,157.487479,1842.640003,,2996.1403569999998,476.801383,21.0
2021-12-09,4937.887546849987,5429.026581871255,5763.384562241111,6237.003076549363,132.320228,1942.800001,,3143.896747,491.267369,7.0
2021-12-10,4903.784896918738,4937.887546849987,5429.026581871255,5763.384562241111,119.184467,1819.55,,3013.221807,447.33351,13.0
2021-12-11,4991.060290941314,4903.784896918738,4937.887546849987,5429.026581871255,152.946622,2093.110004,,3492.6254950000002,715.494993,17.0
2021-12-12,4983.871937219093,4991.060290941314,4903.784896918738,4937.887546849987,193.267395,1882.879997,,3116.815782,602.556296,14.0
2021-12-13,4918.96279184445,4983.871937219093,4991.060290941314,4903.784896918738,282.581412,1993.7400010000001,,2849.53944,1033.3158,18.0
2021-12-14,5080.902701127515,4918.96279184445,4983.871937219093,4991.060290941314,827.48436,1949.679991,,2555.112847,853.947084,9.0
2021-12-15,5006.484989015113,5080.902701127515,4918.96279184445,4983.871937219093,733.472759,1881.209999,,2690.959446,835.344563,18.0
2021-12-16,4928.085385298805,5006.484989015113,5080.902701127515,4918.96279184445,928.8595799999999,2072.939991,,2476.132508,839.106525,9.0
2021-12-17,5071.550929196415,4928.085385298805,5006.484989015113,5080.902701127515,979.396847,2265.270001,,2958.592104,807.412553,17.0
2021-12-18,5562.026355318184,5071.550929196415,4928.085385298805,5006.484989015113,1030.975262,2227.889998,,3061.939246,786.329116,14.0
2021-12-19,5469.372283043576,5562.026355318184,5071.550929196415,4928.085385298805,838.106536,2200.579995,,3199.798371,789.067135,8.0
2021-12-20,5286.432073570249,5469.372283043576,5562.026355318184,5071.550929196415,808.941423,2129.2799999999997,,2810.283697,761.2999149999999,14.0
2021-12-21,5336.655446473565,5286.432073570249,5469.372283043576,5562.026355318184,545.236871,1739.029998,,2329.7848599999998,571.25473,11.0
2021-12-22,5225.673734365562,5336.655446473565,5286.432073570249,5469.372283043576,536.767707,1823.280005,,2305.017743,500.113122,12.0
2021-12-23,5694.552957458555,5225.673734365562,5336.655446473565,5286.432073570249,354.51998,1376.99,,2112.91507,438.074714,5.0
2021-12-24,4561.30280556269,5694.552957458555,5225.673734365562,5336.655446473565,298.412354,1337.3799999999999,,2368.972241,373.427795,10.0
2021-12-25,4515.344987775441,4561.30280556269,5694.552957458555,5225.673734365562,238.305006,1388.499999,,2606.366951,371.086353,19.0
2021-12-26,4572.605030724251,4515.344987775441,4561.30280556269,5694.552957458555,296.432441,1427.830002,,2121.990968,416.725489,13.0
2021-12-27,4501.199726082074,4572.605030724251,4515.344987775441,4561.30280556269,264.87960599999997,1524.029997,,1920.134132,420.676511,7.0
2021-12-28,4517.552242769946,4501.199726082074,4572.605030724251,4515.344987775441,255.603442,1602.130003,,1801.903453,401.906392,8.0
2021-12-29,4595.896270529817,4517.552242769946,4501.199726082074,4572.605030724251,170.256562,1623.789999,,1796.733442,350.275129,4.0
2021-12-30,4552.613922520242,4595.896270529817,4517.552242769946,4501.199726082074,171.459281,1363.110001,,1642.88094,342.852656,9.0
2021-12-31,4369.529482482074,4552.613922520242,4595.896270529817,4517.552242769946,177.34162,1244.020004,,1844.694454,335.562876,11.0
2022-01-01,3614.975304870799,4369.529482482074,4552.613922520242,4595.896270529817,214.777255,1262.759999,,1776.8251910000001,97.65003300000001,5.0
2022-01-02,1777.0583564951405,3614.975304870799,4369.529482482074,4552.613922520242,229.526923,1100.700005,,1581.577659,95.75092000000001,7.0
2022-01-03,1702.6802189160576,1777.0583564951405,3614.975304870799,4369.529482482074,193.971665,1194.479985,,1250.072094,94.085436,5.0
2022-01-04,3371.7689310902033,1702.6802189160576,1777.0583564951405,3614.975304870799,228.73113,1505.099999,,1643.787923,94.875291,7.0
2022-01-05,3371.2903302051723,3371.7689310902033,1702.6802189160576,1777.0583564951405,244.955406,1611.34,,1678.46592,124.565275,6.0
2022-01-06,3326.1134324297686,3371.2903302051723,3371.7689310902033,1702.6802189160576,225.737443,1339.269999,,1546.271831,116.904985,4.0
2022-01-07,3416.823842629542,3326.1134324297686,3371.2903302051723,3371.7689310902033,220.096144,1368.77999,,1647.79339,490.850544,6.0
2022-01-08,3570.6089639271295,3416.823842629542,3326.1134324297686,3371.2903302051723,182.568331,1512.789997,,1642.593214,505.845988,11.0
2022-01-09,3283.5982842669596,3570.6089639271295,3416.823842629542,3326.1134324297686,263.951013,1492.279999,,1177.187928,523.735096,7.0
2022-01-10,2971.2298474401473,3283.5982842669596,3570.6089639271295,3416.823842629542,176.3699,1570.079995,,1221.459159,506.9582,9.0
2022-01-11,3642.565830912812,2971.2298474401473,3283.5982842669596,3570.6089639271295,212.420177,1543.42,,1078.580214,437.88397000000003,8.0
2022-01-12,3639.0290001366843,3642.565830912812,2971.2298474401473,3283.5982842669596,261.61033,1580.990001,,1193.341401,432.481464,8.0
2022-01-13,3726.4547409999586,3639.0290001366843,3642.565830912812,2971.2298474401473,511.529021,1775.69,,1108.010427,422.620522,14.0
2022-01-14,3520.5948475630225,3726.4547409999586,3639.0290001366843,3642.565830912812,487.232372,1579.470003,,1580.30684,428.577974,15.0
2022-01-15,3710.2614030009804,3520.5948475630225,3726.4547409999586,3639.0290001366843,394.419358,1299.089996,,1493.827827,433.755509,10.0
2022-01-16,3684.708099935363,3710.2614030009804,3520.5948475630225,3726.4547409999586,340.106417,1406.040001,,1462.339291,421.70428000000004,13.0
2022-01-17,3354.6641173410485,3684.708099935363,3710.2614030009804,3520.5948475630225,255.201408,1343.239997,,1386.331152,422.764772,12.0
2022-01-18,3186.1056828261294,3354.6641173410485,3684.708099935363,3710.2614030009804,285.07974,1346.389996,,1310.59745,339.5845,11.0
2022-01-19,2936.579138819266,3186.1056828261294,3354.6641173410485,3684.708099935363,163.646877,1217.109997,,1408.813322,211.300218,8.0
2022-01-20,3176.158716353655,2936.579138819266,3186.1056828261294,3354.6641173410485,331.760007,1042.189996,,1258.062,211.448909,8.0
2022-01-21,3065.7382535883753,3176.158716353655,2936.579138819266,3186.1056828261294,205.005538,910.96999,,1200.425944,210.085151,7.0
2022-01-22,3059.9762067487395,3065.7382535883753,3176.158716353655,2936.579138819266,169.06044599999998,957.098174,,1522.595003,65.87192,6.0
2022-01-23,2496.162712513215,3059.9762067487395,3065.7382535883753,3176.158716353655,229.919419,863.917863,,1472.294632,16.609204000000002,9.0
2022-01-24,2178.157171444706,2496.162712513215,3059.9762067487395,3065.7382535883753,178.596543,885.544899,,1338.514308,12.96889,9.0
2022-01-25,2252.543048458009,2178.157171444706,2496.162712513215,3059.9762067487395,194.979226,966.422298,,1318.712424,12.277478,14.0
2022-01-26,2356.2129686258604,2252.543048458009,2178.157171444706,2496.162712513215,165.62969,950.024268,,1388.575409,12.217683,19.0
2022-01-27,2569.5943516323514,2356.2129686258604,2252.543048458009,2178.157171444706,246.65570400000001,882.814705,,1412.421489,12.773894,9.0
2022-01-28,2863.8929681099867,2569.5943516323514,2356.2129686258604,2252.543048458009,204.304631,1099.613763,,1516.674723,12.81857,9.0
2022-01-29,3136.3857746595445,2863.8929681099867,2569.5943516323514,2356.2129686258604,227.958743,1242.722215,,1663.145618,12.870317,5.0
2022-01-30,3210.942730802634,3136.3857746595445,2863.8929681099867,2569.5943516323514,397.327297,1116.671974,,1492.356373,12.87825,8.0
2022-01-31,3110.4986928621256,3210.942730802634,3136.3857746595445,2863.8929681099867,338.729776,1186.661821,,1528.477621,11.662636,9.0
2022-02-01,3124.340134821613,3110.4986928621256,3210.942730802634,3136.3857746595445,337.968685,1144.152293,,1401.636621,13.793873,7.0
